Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Shield,
BT2,PinHeader_1x02_P1.27mm_Vertical,1,4V3,
"C1, C2",603,2,15p,C1644
C20,603,1,1u,C15849
"C28, C31, C32",1206,3,22u,C12891
"D5, D7",D_SMA,2,SS210,C14996
"J1, J3, J5",PinHeader_1x02_P1.27mm_Vertical,3,Conn_01x02_Pin,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,C2927038
"L4, L5",L_Changjiang_FTC303020D,2,22u,C18724424
"Q1, Q2",SOT-23,2,2N7002,C8545
"R10, R12, R14, R31, R32, R35, R9",603,7,10k,C25804
R11,603,1,47k,C25819
"R13, R15",603,2,1,C22936
"R33, R34",603,2,47,C23182
R36,603,1,100,C22775
"SW2, SW5",SW_SPST_TS-1088-xR020,2,KMS221GLFS,C720477
"SW3, SW4",SW_Push_1P1T_XKB_TS-1187A,2,KMS221GLFS,C318884
U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,1,ESP32-C6,C5364646
U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,DRV8220DSG,C3681269
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
U5,SOT-23-6,1,STI3508,C708881
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,C9010
