Designator,Mid X,Mid Y,Rotation,Layer
AE1,107.3,-120.375,180.0,top
BT2,145.4,-118.2,0.0,top
C1,105.0,-119.6,0.0,top
C2,105.1,-113.8,0.0,top
C20,101.8,-113.3,0.0,top
C28,123.0,-109.3,0.0,top
C31,128.0,-108.0,180.0,top
C32,137.3,-107.2,0.0,top
D5,133.6,-111.7,270.0,top
D7,140.2,-118.2,0.0,top
J1,145.2,-107.6,90.0,top
J2,114.5,-102.5,180.0,top
J3,131.7,-118.4,270.0,top
J5,126.5,-118.4,270.0,top
L3,138.0,-114.1,180.0,top
L4,123.0,-114.4,90.0,top
Q1,135.0,-117.8,270.0,top
Q2,122.6,-118.4,180.0,top
R10,106.5,-101.6,90.0,top
R11,131.1,-107.7,270.0,top
R12,108.1,-101.6,270.0,top
R13,122.2,-111.3,180.0,top
R14,105.075,-112.3,180.0,top
R15,119.9,-118.4,90.0,top
R31,102.075,-105.7,180.0,top
R32,129.1,-118.4,270.0,top
R33,115.1,-108.3,0.0,top
R34,118.3,-108.3,0.0,top
R35,114.925,-118.325,90.0,top
R36,132.9,-116.0,0.0,top
R9,133.5,-106.8,0.0,top
SW2,101.8,-109.5,90.0,top
SW3,117.0,-113.0,90.0,top
SW4,128.5,-113.0,90.0,top
SW5,101.7,-117.1,90.0,top
U1,111.0,-116.0125,180.0,top
U2,141.8,-107.3,180.0,top
U3,106.35,-108.2,270.0,top
U5,137.9,-110.1,0.0,top
Y1,105.25,-116.7,90.0,top
